threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1540767885400183	0.0462520600882759	0.6852697863933819	0.7536732929991357	0.2515865820489574	0.0871554884469717
0.2	0.177914740626605	0.0580204778156996	0.6415606865045067	0.5940239535745153	0.278576024018872	0.1057153530070975
0.3	0.2111545632304124	0.0718869749618661	0.5733423879491295	0.4771576737868873	0.3086407444333665	0.1249494802528412
0.4	0.2579791423800371	0.0865256577379701	0.5054945054945055	0.3810964316582294	0.3416150364019442	0.1410310597320113
0.5	0.3237880392247134	0.1042714868418328	0.4341894060995184	0.3109025805655019	0.3709486009652153	0.1561671447399022
0.6	0.4071008345874948	0.127705163916863	0.3673910359303617	0.2575626620570441	0.3862279335410176	0.1707491763357685
0.7	0.4935284747112704	0.1630414575199851	0.3060254352389184	0.2165699469070255	0.3777913268805731	0.1860317123614573
0.8	0.5771634949298514	0.2179933414043583	0.2565131497715767	0.1778614643783183	0.3551737402231055	0.1958931121234786
0.9	0.6312966864585329	0.3347801736208345	0.2034819113470798	0.147610816150142	0.3077641346468088	0.2048843187660668
0.95	0.663913913913914	0.4532224532224532	0.1637856525496974	0.1345845166069885	0.2627513122709716	0.2075399847677075
