threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0920076556628155	0.0248361749769096	0.5436684827472346	0.7480600957569754	0.1573809666049345	0.0480761834025226
0.2	0.1014017489711934	0.0299696116856881	0.5207198282978373	0.5731385174178636	0.1697478539328866	0.0569607272070948
0.3	0.1170243559525286	0.0380188421627525	0.4672280006603929	0.4597160310384678	0.1871693121693121	0.0702296429877549
0.4	0.1443227838608069	0.049230703341649	0.3971438005613339	0.3795608386990259	0.2117098285990891	0.0871567893395001
0.5	0.2078713103232859	0.0658333619889274	0.329618623080733	0.316080567937923	0.2549564217986783	0.1089703454949058
0.6	0.3088722658839125	0.0909740074264495	0.2692752187551593	0.2629189367673766	0.2877177508269019	0.1351752822341057
0.7	0.4695427092320966	0.1323479194107029	0.2246161466072313	0.2239557536734357	0.3038695627896588	0.1663753717842578
0.8	0.6240109140518417	0.208169818052087	0.1887898299488195	0.1926696384348687	0.2898789530388491	0.2001200377261424
0.9	0.6792323509252913	0.3650043744531933	0.1636123493478619	0.1721974574872048	0.2637040979244279	0.2340007852375343
0.95	0.6811492641906096	0.4974785678265254	0.1604754829123328	0.1628694072973419	0.2597541421699626	0.2453980099502487
